trip_dayAndHour,trip_counts
02/09/2016 01,4
02/09/2016 04,1
02/09/2016 06,2
02/09/2016 07,13
02/09/2016 08,29
02/09/2016 09,33
02/09/2016 10,16
02/09/2016 11,14
02/09/2016 12,16
02/09/2016 13,10
02/09/2016 14,14
02/09/2016 15,14
02/09/2016 16,27
02/09/2016 17,36
02/09/2016 18,45
02/09/2016 19,42
02/09/2016 20,23
02/09/2016 21,20
02/09/2016 22,8
02/09/2016 23,7
02/10/2016 00,3
02/10/2016 01,2
02/10/2016 02,1
02/10/2016 05,3
02/10/2016 06,8
02/10/2016 07,22
02/10/2016 08,50
02/10/2016 09,42
02/10/2016 10,24
02/10/2016 11,20
02/10/2016 12,19
02/10/2016 13,19
02/10/2016 14,19
02/10/2016 15,25
02/10/2016 16,33
02/10/2016 17,53
02/10/2016 18,55
02/10/2016 19,28
02/10/2016 20,19
02/10/2016 21,15
02/10/2016 22,6
02/10/2016 23,7
02/11/2016 00,5
02/11/2016 01,4
02/11/2016 02,3
02/11/2016 05,1
02/11/2016 06,5
02/11/2016 07,35
02/11/2016 08,57
02/11/2016 09,61
02/11/2016 10,27
02/11/2016 11,21
02/11/2016 12,25
02/11/2016 13,20
02/11/2016 14,23
02/11/2016 15,27
02/11/2016 16,34
02/11/2016 17,59
02/11/2016 18,29
02/11/2016 19,21
02/11/2016 20,27
02/11/2016 21,19
02/11/2016 22,4
02/11/2016 23,8
02/12/2016 00,5
02/12/2016 01,1
02/12/2016 03,1
02/12/2016 05,1
02/12/2016 06,6
02/12/2016 07,15
02/12/2016 08,34
02/12/2016 09,41
02/12/2016 10,36
02/12/2016 11,18
02/12/2016 12,30
02/12/2016 13,22
02/12/2016 14,13
02/12/2016 15,26
02/12/2016 16,30
02/12/2016 17,49
02/12/2016 18,33
02/12/2016 19,17
02/12/2016 20,14
02/12/2016 21,12
02/12/2016 22,7
02/12/2016 23,5
02/13/2016 00,4
02/13/2016 01,2
02/13/2016 02,4
02/13/2016 04,1
02/13/2016 06,1
02/13/2016 07,4
02/13/2016 08,5
02/13/2016 09,11
02/13/2016 10,11
02/13/2016 11,13
02/13/2016 12,9
02/13/2016 13,11
02/13/2016 14,18
02/13/2016 15,14
02/13/2016 16,11
02/13/2016 17,11
02/13/2016 18,15
02/13/2016 19,7
02/13/2016 20,10
02/13/2016 21,6
02/13/2016 22,3
02/14/2016 00,3
02/14/2016 01,2
02/14/2016 02,1
02/14/2016 07,1
02/14/2016 08,2
02/14/2016 09,4
02/14/2016 10,8
02/14/2016 11,12
02/14/2016 12,2
02/14/2016 13,6
02/14/2016 14,11
02/14/2016 15,6
02/14/2016 16,5
02/14/2016 17,6
02/14/2016 18,4
02/14/2016 19,7
02/14/2016 20,11
02/14/2016 21,1
02/14/2016 22,2
02/14/2016 23,1
02/15/2016 01,1
02/15/2016 02,1
02/15/2016 06,1
02/15/2016 07,2
02/15/2016 08,15
02/15/2016 09,13
02/15/2016 10,14
02/15/2016 11,18
02/15/2016 12,20
02/15/2016 13,13
02/15/2016 14,13
02/15/2016 15,10
02/15/2016 16,18
02/15/2016 17,13
02/15/2016 18,31
02/15/2016 19,10
02/15/2016 20,5
02/15/2016 21,1
02/15/2016 22,1
02/15/2016 23,1
02/16/2016 00,1
02/16/2016 02,1
02/16/2016 05,2
02/16/2016 06,2
02/16/2016 07,9
02/16/2016 08,34
02/16/2016 09,37
02/16/2016 10,25
02/16/2016 11,26
02/16/2016 12,26
02/16/2016 13,20
02/16/2016 14,19
02/16/2016 15,21
02/16/2016 16,13
02/16/2016 17,14
02/16/2016 18,25
02/16/2016 19,27
02/16/2016 20,30
02/16/2016 21,30
02/16/2016 22,12
02/16/2016 23,7
02/17/2016 00,2
02/17/2016 01,5
02/17/2016 02,2
02/17/2016 04,1
02/17/2016 05,1
02/17/2016 06,7
02/17/2016 07,19
02/17/2016 08,71
02/17/2016 09,62
02/17/2016 10,26
02/17/2016 11,37
02/17/2016 12,31
02/17/2016 13,33
02/17/2016 14,30
02/17/2016 15,40
02/17/2016 16,43
02/17/2016 17,77
02/17/2016 18,62
02/17/2016 19,46
02/17/2016 20,34
02/17/2016 21,26
02/17/2016 22,12
02/17/2016 23,2
02/18/2016 01,2
02/18/2016 02,4
02/18/2016 03,1
02/18/2016 04,1
02/18/2016 05,1
02/18/2016 06,5
02/18/2016 07,18
02/18/2016 08,68
02/18/2016 09,73
02/18/2016 10,33
02/18/2016 11,32
02/18/2016 12,35
02/18/2016 13,35
02/18/2016 14,38
02/18/2016 15,25
02/18/2016 16,36
02/18/2016 17,57
02/18/2016 18,56
02/18/2016 19,39
02/18/2016 20,24
02/18/2016 21,20
02/18/2016 22,11
02/18/2016 23,5
02/19/2016 00,5
02/19/2016 01,1
02/19/2016 02,3
02/19/2016 04,1
02/19/2016 05,2
02/19/2016 06,5
02/19/2016 07,18
02/19/2016 08,59
02/19/2016 09,58
02/19/2016 10,34
02/19/2016 11,29
02/19/2016 12,33
02/19/2016 13,35
02/19/2016 14,22
02/19/2016 15,32
02/19/2016 16,46
02/19/2016 17,54
02/19/2016 18,61
02/19/2016 19,30
02/19/2016 20,28
02/19/2016 21,19
02/19/2016 22,24
02/19/2016 23,6
02/20/2016 00,10
02/20/2016 01,5
02/20/2016 02,4
02/20/2016 03,1
02/20/2016 07,3
02/20/2016 08,10
02/20/2016 09,14
02/20/2016 10,24
02/20/2016 11,33
02/20/2016 12,59
02/20/2016 13,49
02/20/2016 14,59
02/20/2016 15,83
02/20/2016 16,56
02/20/2016 17,58
02/20/2016 18,39
02/20/2016 19,34
02/20/2016 20,28
02/20/2016 21,19
02/20/2016 22,10
02/20/2016 23,16
02/21/2016 00,8
02/21/2016 01,9
02/21/2016 02,3
02/21/2016 03,1
02/21/2016 06,2
02/21/2016 07,3
02/21/2016 08,8
02/21/2016 09,24
02/21/2016 10,36
02/21/2016 11,41
02/21/2016 12,60
02/21/2016 13,58
02/21/2016 14,55
02/21/2016 15,59
02/21/2016 16,35
02/21/2016 17,38
02/21/2016 18,30
02/21/2016 19,20
02/21/2016 20,13
02/21/2016 21,20
02/21/2016 22,11
02/21/2016 23,6
02/22/2016 00,2
02/22/2016 02,2
02/22/2016 04,2
02/22/2016 05,2
02/22/2016 06,8
02/22/2016 07,38
02/22/2016 08,82
02/22/2016 09,49
02/22/2016 10,41
02/22/2016 11,42
02/22/2016 12,35
02/22/2016 13,34
02/22/2016 14,41
02/22/2016 15,48
02/22/2016 16,63
02/22/2016 17,72
02/22/2016 18,57
02/22/2016 19,38
02/22/2016 20,40
02/22/2016 21,22
02/22/2016 22,20
02/22/2016 23,8
02/23/2016 00,5
02/23/2016 01,2
02/23/2016 02,3
02/23/2016 04,1
02/23/2016 05,2
02/23/2016 06,10
02/23/2016 07,37
02/23/2016 08,58
02/23/2016 09,72
02/23/2016 10,41
02/23/2016 11,36
02/23/2016 12,36
02/23/2016 13,25
02/23/2016 14,30
02/23/2016 15,34
02/23/2016 16,49
02/23/2016 17,69
02/23/2016 18,64
02/23/2016 19,51
02/23/2016 20,37
02/23/2016 21,17
02/23/2016 22,15
02/23/2016 23,7
02/24/2016 00,4
02/24/2016 01,2
02/24/2016 04,1
02/24/2016 05,1
02/24/2016 06,3
02/24/2016 07,13
02/24/2016 08,37
02/24/2016 09,31
02/24/2016 10,30
02/24/2016 11,28
02/24/2016 12,30
02/24/2016 13,21
02/24/2016 14,7
02/24/2016 15,18
02/24/2016 16,13
02/24/2016 17,28
02/24/2016 18,16
02/24/2016 19,38
02/24/2016 20,20
02/24/2016 21,21
02/24/2016 22,12
02/24/2016 23,4
02/25/2016 00,4
02/25/2016 01,1
02/25/2016 04,1
02/25/2016 06,9
02/25/2016 07,20
02/25/2016 08,69
02/25/2016 09,63
02/25/2016 10,43
02/25/2016 11,45
02/25/2016 12,42
02/25/2016 13,52
02/25/2016 14,42
02/25/2016 15,37
02/25/2016 16,63
02/25/2016 17,70
02/25/2016 18,65
02/25/2016 19,24
02/25/2016 20,26
02/25/2016 21,20
02/25/2016 22,24
02/25/2016 23,5
02/26/2016 00,11
02/26/2016 01,1
02/26/2016 02,1
02/26/2016 04,1
02/26/2016 05,2
02/26/2016 06,7
02/26/2016 07,30
02/26/2016 08,77
02/26/2016 09,54
02/26/2016 10,44
02/26/2016 11,39
02/26/2016 12,42
02/26/2016 13,34
02/26/2016 14,28
02/26/2016 15,33
02/26/2016 16,54
02/26/2016 17,66
02/26/2016 18,50
02/26/2016 19,25
02/26/2016 20,20
02/26/2016 21,7
02/26/2016 22,8
02/26/2016 23,10
02/27/2016 00,12
02/27/2016 01,5
02/27/2016 02,3
02/27/2016 03,1
02/27/2016 05,1
02/27/2016 06,2
02/27/2016 07,3
02/27/2016 08,13
02/27/2016 09,24
02/27/2016 10,32
02/27/2016 11,27
02/27/2016 12,37
02/27/2016 13,25
02/27/2016 14,37
02/27/2016 15,38
02/27/2016 16,37
02/27/2016 17,44
02/27/2016 18,39
02/27/2016 19,28
02/27/2016 20,16
02/27/2016 21,12
02/27/2016 22,17
02/27/2016 23,9
02/28/2016 00,7
02/28/2016 01,5
02/28/2016 02,7
02/28/2016 03,2
02/28/2016 05,1
02/28/2016 07,3
02/28/2016 08,9
02/28/2016 09,23
02/28/2016 10,39
02/28/2016 11,43
02/28/2016 12,48
02/28/2016 13,56
02/28/2016 14,67
02/28/2016 15,87
02/28/2016 16,67
02/28/2016 17,60
02/28/2016 18,29
02/28/2016 19,21
02/28/2016 20,23
02/28/2016 21,11
02/28/2016 22,14
02/28/2016 23,8
02/29/2016 00,6
02/29/2016 01,2
02/29/2016 02,1
02/29/2016 04,1
02/29/2016 05,3
02/29/2016 06,9
02/29/2016 07,36
